name,personality,environmentalImpact,loan_amount,capital,income,monthlyExpenses,numberOfKids,homeMortgage,hasStudentLoan,monthly_surplus,interest,months,score_totalProfit,score_happynessScore,score_environmentalImpact,score_totalScore,mapName
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,0,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,12,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,24,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,36,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,48,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,60,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,72,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,84,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,96,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,108,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,120,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,132,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,144,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,156,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,168,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,180,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,192,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,204,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,216,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,228,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,240,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,252,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,264,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,276,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,288,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,300,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,312,0,0,0,0,Almhult
Sherri Kertzmann,Innovative,56600,9938700,606600,18800,12600,4,2909300,False,-26044.16666666667,1e+17,324,0,0,0,0,Almhult
